filename,length,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,label
blues.00024.wav,661500,0.26310804,0.09998006,0.08696161,0.0025120887,1120.3909802285903,176408.83617593607,1447.85262505518,53821.613989621714,2325.127606938129,1139107.8707744433,0.047297899937113,0.0010792057276398255,-6.846056e-06,0.0065581193,-9.8312965e-05,0.0017152248,[103.359375],-274.31186,5919.186,130.41371,500.65375,-6.392792,1342.4635,70.40501,311.4059,13.269149,230.56923,9.461278,155.49147,7.7256455,121.51681,-1.2474943,150.22719,-0.577586,94.16158,-2.30259,68.893074,3.783148,76.78567,0.08482309,73.57478,-0.9394367,126.729645,blues
blues.00027.wav,661500,0.28870454,0.09416198,0.09572528,0.0021939378,1391.4439037459135,200153.14323670554,1494.8508338204408,43500.503910029656,2811.1413347462753,541210.865487979,0.07235897288602941,0.0025428603270127243,-1.30989465e-05,0.007730341,-8.918052e-05,0.0015375036,[92.28515625],-228.25067,2813.773,130.3444,689.31323,-23.291285,927.4458,70.1721,396.8931,1.1422764,181.81035,7.6024437,153.58537,0.9099431,100.30613,1.9782467,88.576416,-6.167004,61.917267,-9.396027,85.992905,-2.5628378,107.918915,-4.5228963,59.029346,-0.262949,67.83879,blues
blues.00074.wav,661500,0.36717397,0.08540202,0.19690311,0.0042837486,2515.8691600222824,272550.3586687091,2531.4200010553727,66559.81217016812,5771.615099833108,998098.86728446,0.12091612446787926,0.0016698289258501849,1.228902e-06,0.019936258,-2.397729e-05,0.010118626,[112.34714674],-56.032894,2866.0925,87.840675,358.13525,-1.6012405,288.10788,41.205364,165.80591,-5.620271,140.18721,27.784927,108.57122,-24.002584,91.602715,21.768122,64.850876,-18.42899,85.30029,12.328122,65.85359,-13.717032,65.636055,11.850821,70.903915,-3.982272,58.626965,blues
blues.00075.wav,661500,0.4664576,0.08149697,0.19203044,0.008018584,2225.176865828166,462553.52263783384,2255.135044259995,99000.27176823175,4703.588224712171,1855812.603742302,0.10858664497871517,0.003210580025376113,-0.004731216,0.013121391,-0.0055849357,0.018233556,[117.45383523],-86.33549,6846.8687,92.7005,779.82733,-15.399187,500.90082,54.052013,238.42084,0.8667883,214.42143,31.560293,129.72664,-14.622711,93.89621,23.325447,49.032726,-14.978637,73.999756,15.339354,75.326546,-7.0493617,83.15805,12.182225,61.919407,-6.110912,92.45658,blues
blues.00011.wav,661500,0.36580706,0.10200662,0.065684564,0.0025005445,1353.3291189300633,511903.71127198107,1757.3310044069237,220219.00017631424,2882.31590436339,2932662.4647420235,0.04395891785990712,0.001896140560074861,6.7444375e-06,0.0050140196,-1.26186405e-05,0.0006340413,[161.49902344],-287.92355,5935.973,123.97102,993.7331,5.4561305,302.10092,33.68454,344.13187,1.0892063,441.54025,14.704719,235.5728,-4.8986034,149.2554,8.653274,189.14641,0.7828001,148.787,6.5667343,114.19628,-4.8794384,93.83295,-3.18066,84.243774,-5.5570025,65.37901,blues
blues.00013.wav,661500,0.2647263,0.09117027,0.11318897,0.0041914484,1324.3317542217217,171640.59788434746,1827.3844642890322,78116.61799334499,2710.3669441152283,1075616.7903566298,0.051417300575657895,0.0012560154024389564,-1.2895237e-05,0.012687887,-6.405303e-05,0.0016043234,[107.66601562],-209.78221,1969.8453,124.465935,542.44574,10.285807,661.9418,47.030174,148.28587,6.482387,101.97603,15.417021,146.30327,-2.0100763,69.42921,6.7357855,76.001945,-21.54862,96.43982,10.7284975,95.85313,-5.5324316,90.725525,-2.202039,59.216892,-3.0517263,52.383526,blues
blues.00086.wav,661500,0.365903,0.09644266,0.12492373,0.003668568,1245.5817719137372,713785.8285131532,1634.2884053266514,335482.2832327715,2517.6097763581174,3534003.969135421,0.04882661329334365,0.002729048298537565,-1.2693069e-05,0.011529838,-5.6874327e-05,0.0029180709,[123.046875],-212.8154,7250.497,139.06923,1556.6444,9.454345,732.645,35.44627,258.18045,12.709547,310.74884,20.417665,186.04802,-5.5739527,180.32547,10.893662,102.06134,-8.731712,140.5961,8.055455,76.00223,0.16379786,95.235405,2.6417463,75.52669,-1.0257345,76.215775,blues
blues.00071.wav,661500,0.30524948,0.080074646,0.12049466,0.0003274195,2429.3359591758494,97695.9181434633,2286.6949825737365,25051.139843410987,5065.152705047891,232186.6239344558,0.13468663832720587,0.0014273373318856107,-9.039917e-06,0.008873268,-0.00038263144,0.0023908978,[73.828125],-89.391495,695.12354,93.787796,192.58812,-14.57109,133.76848,54.391533,99.301575,-33.51502,64.555954,19.421158,41.70029,-19.763674,47.00677,13.022463,46.063274,-13.869496,52.434464,14.611718,51.535313,-14.970264,60.203392,10.589298,35.374905,-18.023413,34.41031,blues
blues.00026.wav,661500,0.27866608,0.09501959,0.076938555,0.0059182495,1198.754498572217,161883.03479795583,1573.0851132732241,83785.46998640549,2478.8266775408765,991671.4782796679,0.051987591911764705,0.0014876887308098842,-3.120199e-05,0.008411981,-6.2686464e-05,0.001919674,[83.35433468],-284.69736,6197.202,108.80518,676.2405,9.088289,1446.0851,51.222736,295.75235,18.091763,210.405,7.612257,181.81792,8.779501,121.39312,2.3628283,103.10534,0.005785868,93.51632,2.250967,106.174225,4.2050986,84.32892,-3.2933161,97.70171,1.6082976,68.53466,blues
blues.00050.wav,661500,0.40090895,0.089652844,0.18233933,0.003974695,1945.6207939267476,147369.55122665793,2082.1764771287803,73369.00667704141,4175.766416378435,806804.3817962866,0.08580598152089783,0.001220013753226274,-1.3778323e-06,0.014099955,-4.109012e-05,0.012255888,[135.99917763],-83.00169,2508.6072,107.06744,314.40848,-25.32368,340.75516,57.122074,204.33905,0.08130001,138.09763,34.708904,73.037704,-11.047215,101.76058,20.53328,52.152664,-11.220151,60.900047,14.839782,59.191063,-10.229965,43.782074,12.542858,50.45211,-9.772625,45.126247,blues
